comb,ncell,h,Udof,Kdof,Pdof,pdof,xdof,lambda,fem_Ul2err,fem_Kl2err,fem_Pl2err,fem_Phdiverr,fem_pl2err
P̄0d1d1P1,144,0.11207090926027129,288,936,864,91,2179,3.0,0.052350460373328966,0.01244796593968977,0.013794483658436583,0.013794483658436583,0.0007727954793625367
P̄0d1d1P1,324,0.07477328068292126,648,2052,1944,190,4834,3.0,0.03490872260731686,0.0055353043329575274,0.006142982019775791,0.006142982019775791,0.0003332214974724069
P̄0d1d1P1,784,0.04808644582265773,1568,4872,4704,435,11579,3.0,0.02244386330814433,0.002286401345416839,0.0025364263554902475,0.0025364263554902475,0.0001274981157255884
P̄0d1d1P1,1600,0.03366501536969304,3200,9840,9600,861,23501,3.0,0.015711343685052184,0.0011196413350574046,0.001241567176507345,0.001241567176507345,5.894457573003494e-5
P̄0d1d1P1,3600,0.022444946091947984,7200,21960,21600,1891,52651,3.0,0.01047445668156852,0.0004972859846150685,0.000551403457826314,0.0005514034578263142,2.5146786591000864e-5
P̄0d1d1P1,8100,0.014963772217943561,16200,49140,48600,4186,118126,3.0,0.006983038551964024,0.00022089679312989034,0.0002449769089642855,0.0002449769089642969,1.0954201277355982e-5
P̄1d2d2P2,144,0.11207090926027129,864,2268,2160,325,5617,3.0,0.0017097380689663384,0.0005951920283155318,0.0012187611023416387,0.0012187611023416387,0.00027628565096551275
P̄1d2d2P2,324,0.07477328068292126,1944,5022,4860,703,12529,3.0,0.0007602094346151364,0.00017472305523517004,0.0003247291204786011,0.0003247291204786011,6.583197303421265e-5
P̄1d2d2P2,784,0.04808644582265773,4704,12012,11760,1653,30129,3.0,0.00031423163066800333,4.6073414772693456e-5,7.802480673846017e-5,7.802480673846017e-5,1.330784439314654e-5
P̄1d2d2P2,1600,0.03366501536969304,9600,24360,24000,3321,61281,3.0,0.00015398468396273792,1.5738815797763047e-5,2.5355009491629932e-5,2.5355009491629932e-5,3.7443511629562885e-6
P̄1d2d2P2,3600,0.022444946091947984,21600,54540,54000,7381,137521,3.0,6.844029234859138e-5,4.648726885314304e-6,7.177829317754734e-6,7.177829317754734e-6,9.092306831034035e-7
P̄1d2d2P2,8100,0.014963772217943561,48600,122310,121500,16471,308881,3.0,3.041843231990959e-5,1.3745581476690527e-6,2.0423872276562566e-6,2.0423872276562583e-6,2.2129638100800746e-7
P̄0d1d1P1(corr),144,0.11207090926027129,576,936,864,91,2467,3.0,0.00012781213373464257,0.01244796593968977,0.013794483658436583,0.013794483658436583,0.0007727954793625367
P̄0d1d1P1(corr),324,0.07477328068292126,1296,2052,1944,190,5482,3.0,3.778704193653183e-5,0.0055353043329575274,0.006142982019775791,0.006142982019775791,0.0003332214974724069
P̄0d1d1P1(corr),784,0.04808644582265773,3136,4872,4704,435,13147,3.0,1.0031104440227021e-5,0.002286401345416839,0.0025364263554902475,0.0025364263554902475,0.0001274981157255884
P̄0d1d1P1(corr),1600,0.03366501536969304,6400,9840,9600,861,26701,3.0,3.4408696698454303e-6,0.0011196413350574046,0.001241567176507345,0.001241567176507345,5.894457573003494e-5
P̄0d1d1P1(corr),3600,0.022444946091947984,14400,21960,21600,1891,59851,3.0,1.0199277252538167e-6,0.0004972859846150685,0.000551403457826314,0.0005514034578263142,2.5146786591000864e-5
P̄0d1d1P1(corr),8100,0.014963772217943561,32400,49140,48600,4186,134326,3.0,3.023482144775861e-7,0.00022089679312989034,0.0002449769089642855,0.0002449769089642969,1.0954201277355982e-5
P̄1d2d2P2(corr),144,0.11207090926027129,1296,2268,2160,325,6049,3.0,5.098325246910586e-6,0.0005951920283155318,0.0012187611023416387,0.0012187611023416387,0.00027628565096551275
P̄1d2d2P2(corr),324,0.07477328068292126,2916,5022,4860,703,13501,3.0,1.0051623840409657e-6,0.00017472305523517004,0.0003247291204786011,0.0003247291204786011,6.583197303421265e-5
P̄1d2d2P2(corr),784,0.04808644582265773,7056,12012,11760,1653,32481,3.0,1.7131282490673727e-7,4.6073414772693456e-5,7.802480673846017e-5,7.802480673846017e-5,1.330784439314654e-5
P̄1d2d2P2(corr),1600,0.03366501536969304,14400,24360,24000,3321,66081,3.0,4.1113233824800943e-8,1.5738815797763047e-5,2.5355009491629932e-5,2.5355009491629932e-5,3.7443511629562885e-6
P̄1d2d2P2(corr),3600,0.022444946091947984,32400,54540,54000,7381,148321,3.0,8.125914201382125e-9,4.648726885314304e-6,7.177829317754734e-6,7.177829317754734e-6,9.092306831034035e-7
P̄1d2d2P2(corr),8100,0.014963772217943561,72900,122310,121500,16471,333181,3.0,1.60770041894756e-9,1.3745581476690527e-6,2.0423872276562566e-6,2.0423872276562583e-6,2.2129638100800746e-7
P1c1d̄0P̄0,144,0.11207090926027129,144,936,468,144,1692,3.0,0.23803017346455504,0.12488093130800205,0.5703009483575945,35.64787024920089,0.03457629944412986
P1c1d̄0P̄0,324,0.07477328068292126,324,2052,1026,324,3726,3.0,0.15818060855286292,0.07463214778204458,0.476735910360253,45.94092529699618,0.022329445592014822
P1c1d̄0P̄0,784,0.04808644582265773,784,4872,2436,784,8876,3.0,0.10145746348149279,0.04306282209584769,0.4133061807766687,63.32251343100118,0.013530821595468935
P1c1d̄0P̄0,1600,0.03366501536969304,1600,9840,4920,1600,17960,3.0,0.07093758465214772,0.02794892550039359,0.3832459734478339,84.88081315504394,0.00895275952172845
P1c1d̄0P̄0,3600,0.022444946091947984,3600,21960,10980,3600,40140,3.0,0.04725095920941265,0.01734386073186139,0.3634517597237667,121.76698815629585,0.00562588052230987
P1c1d̄0P̄0,8100,0.014963772217943561,8100,49140,24570,8100,89910,3.0,0.03148335811896764,0.010926450056392882,0.3525792317561922,178.04346263451055,0.0035921632028794634
P2c2d̄1P̄1,144,0.11207090926027129,576,2268,1512,432,4788,3.0,0.014570575410551439,0.013427988796478297,0.0523492051487427,2.2244697274037297,0.012892949705131513
P2c2d̄1P̄1,324,0.07477328068292126,1296,5022,3348,972,10638,3.0,0.006895072418531313,0.006052233939964902,0.02949189601603177,1.8598147414697805,0.006301952488391117
P2c2d̄1P̄1,784,0.04808644582265773,3136,12012,8008,2352,25508,3.0,0.0030330286990206783,0.0025031598776774047,0.015301288985275895,1.4431444363738841,0.002930200287767539
P2c2d̄1P̄1,1600,0.03366501536969304,6400,24360,16240,4800,51800,3.0,0.0015441133290944682,0.0012174304591322483,0.008341291387495162,1.1180205268986625,0.0015103103663248697
P2c2d̄1P̄1,3600,0.022444946091947984,14400,54540,36360,10800,116100,3.0,0.0007091924870140006,0.0005343143903321856,0.003883114799731377,0.7907021325516949,0.0006657756843603655
P2c2d̄1P̄1,8100,0.014963772217943561,32400,122310,81540,24300,260550,3.0,0.0003248613443202385,0.0002344149084869543,0.00173479148366924,0.5301389455203788,0.00027691404211031465