comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,u,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
MixedNedelec,delaunay,42,4131,0.0613002497849203,18301,72855,26955,4131,122242,0.2,0.0511744229193708,0.1713258578460743,0.3593360026272489,6.5875047857511415,0.1961396254274968
MixedNedelec,delaunay,42,4131,0.0613002497849203,18301,72855,26955,4131,122242,0.5,0.1240567760953473,0.3908884742637292,0.7139091287912323,6.765767800221823,0.1253428692412002
MixedNedelec,delaunay,48,3167,0.0682077028995052,14262,56679,20913,3167,95021,0.2,0.0511667680052447,0.1713802574700729,0.3581875429273129,3.761401590800744,0.1957434055329669
MixedNedelec,delaunay,48,3167,0.0682077028995052,14262,56679,20913,3167,95021,0.5,0.1240225184019732,0.3909704021502299,0.7149557951839055,8.021043004281779,0.1265778089530044
MixedNedelec,delaunay,56,2338,0.0751884354827717,10568,42060,15507,2338,70473,0.2,0.0511559100180149,0.1714330733572939,0.3582454168275276,3.3619213874842204,0.1958180308621652
MixedNedelec,delaunay,56,2338,0.0751884354827717,10568,42060,15507,2338,70473,0.5,0.123974333723289,0.3910454559072765,0.7153875718914128,7.693224328323424,0.1266399327517507
MixedNedelec,delaunay,62,1768,0.0834068984776279,8044,31848,11733,1768,53393,0.2,0.0511519970631836,0.1714454128079705,0.3596267119565882,4.874543170317167,0.1961799603492951
MixedNedelec,delaunay,62,1768,0.0834068984776279,8044,31848,11733,1768,53393,0.5,0.1239730948290384,0.3910404320927831,0.7187718354422383,10.215016615698833,0.1293008901386885
MixedNedelec,delaunay,70,1357,0.0896016484146825,6195,24561,9036,1357,41149,0.2,0.0511332422988978,0.1715650248154489,0.3630405720679205,7.528237908509824,0.1970179075561252
MixedNedelec,delaunay,70,1357,0.0896016484146825,6195,24561,9036,1357,41149,0.5,0.1238993358701443,0.3912652322564189,0.7226414780592317,12.9079978909987,0.1329021416378827
MixedNedelec,delaunay,81,943,0.109278772927971,4304,17115,6294,943,28656,0.2,0.051143489545981,0.1717241123177771,0.3596743378582112,3.1971785864129605,0.1962120388676242
MixedNedelec,delaunay,81,943,0.109278772927971,4304,17115,6294,943,28656,0.5,0.1238886009255261,0.3915137036795893,0.7214993412693871,8.821430347860256,0.1314265916836194
MixedNedelec,delaunay,99,742,0.1301474808239426,3416,13632,4998,742,22788,0.2,0.0511134771321656,0.1721854500476201,0.3713789582021523,6.633914579412653,0.1991846469813718
MixedNedelec,delaunay,99,742,0.1301474808239426,3416,13632,4998,742,22788,0.5,0.1237862911752743,0.3926465377282389,0.7407871493246988,13.194661954357214,0.1460809478135633
P̄0d1d1P1,delaunay,42,4131,0.0613002497849203,12393,80865,71784,1093,166135,0.2,0.0511882980786156,0.1714225981549463,0.3573894044662253,0.3573894044662253,0.1954778577255507
P̄0d1d1P1,delaunay,42,4131,0.0613002497849203,12393,80865,71784,1093,166135,0.5,0.1241485201137028,0.3911673533656573,0.7136015899237641,0.7136015899237641,0.1254077851700805
P̄0d1d1P1,delaunay,48,3167,0.0682077028995052,9501,62739,54765,893,127898,0.2,0.0511817523802934,0.1714830652922997,0.3575202082837193,0.3575202082837193,0.1954600691350579
P̄0d1d1P1,delaunay,48,3167,0.0682077028995052,9501,62739,54765,893,127898,0.5,0.1241272917179476,0.3912968461498264,0.7139133394002473,0.7139133394002473,0.1254100148366836
P̄0d1d1P1,delaunay,56,2338,0.0751884354827717,7014,46521,40356,673,94564,0.2,0.0511812461857103,0.1715661440503651,0.3576076802737789,0.3576076802737789,0.1954963815597876
P̄0d1d1P1,delaunay,56,2338,0.0751884354827717,7014,46521,40356,673,94564,0.5,0.124118497674617,0.3914230360293083,0.7141847787395121,0.7141847787395121,0.1255511399249006
P̄0d1d1P1,delaunay,62,1768,0.0834068984776279,5304,35199,30438,514,71455,0.2,0.0511678004324517,0.1715771344578434,0.3575306119820557,0.3575306119820557,0.1955100497545789
P̄0d1d1P1,delaunay,62,1768,0.0834068984776279,5304,35199,30438,514,71455,0.5,0.1240797345658844,0.3913960648250164,0.7137898338469549,0.7137898338469549,0.1252590781340471
P̄0d1d1P1,delaunay,70,1357,0.0896016484146825,4071,27108,23346,404,54929,0.2,0.0511446632715122,0.1717138907334368,0.3577911942899024,0.3577911942899024,0.195442358133232
P̄0d1d1P1,delaunay,70,1357,0.0896016484146825,4071,27108,23346,404,54929,0.5,0.1240142367944781,0.3916739391618766,0.714565814486412,0.714565814486412,0.1254356074962854
P̄0d1d1P1,delaunay,81,943,0.109278772927971,2829,18882,16209,284,38204,0.2,0.0511562076588054,0.1719200892930248,0.3577041133208142,0.3577041133208142,0.1956635263110095
P̄0d1d1P1,delaunay,81,943,0.109278772927971,2829,18882,16209,284,38204,0.5,0.1240323592735848,0.3919990793187438,0.714849849796409,0.714849849796409,0.1254735702894454
P̄0d1d1P1,delaunay,99,742,0.1301474808239426,2226,14994,12726,236,30182,0.2,0.0511049176772366,0.1723586419138,0.3594014907498614,0.3594014907498614,0.1950984008978153
P̄0d1d1P1,delaunay,99,742,0.1301474808239426,2226,14994,12726,236,30182,0.5,0.1238582204263088,0.3930282024940122,0.7181166533979403,0.7181166533979403,0.1258877683454706
P̄1d2d2P2,delaunay,45,3535,0.064216505656733,42420,202842,186084,6130,437476,0.2,0.0512285910158241,0.1713688526401877,0.3575770688187368,0.3575770688187368,0.1954396091860814
P̄1d2d2P2,delaunay,45,3535,0.06421650565673306,42420,202842,186084,6130,437476,0.5,0.12423562825873319,0.39113629269278394,0.713804918268977,0.713804918268977,0.1256214540654974
P̄1d2d2P2,delaunay,51,2726,0.0696204498724798,32712,156672,143388,4761,337533,0.2,0.0512331818706959,0.1714267048085726,0.3577482703249654,0.3577482703249654,0.1954142903123878
P̄1d2d2P2,delaunay,51,2726,0.06962044987247988,32712,156672,143388,4761,337533,0.5,0.12424049156400459,0.3912632819124784,0.7141834967895757,0.7141834967895757,0.12570031017770572
P̄1d2d2P2,delaunay,57,1950,0.0782081902813071,23400,112014,102564,3406,241384,0.2,0.0512454152925283,0.1714960945694225,0.3579172261072799,0.3579172261072799,0.1954428711206253
P̄1d2d2P2,delaunay,57,1950,0.0782081902813071,23400,112014,102564,3406,241384,0.5,0.1242695401626613,0.3914222971454473,0.7145921058313731,0.7145921058313731,0.1258235210299139
P̄1d2d2P2,delaunay,66,1572,0.090996131697337,18864,91170,82422,2854,195310,0.2,0.0512414715219768,0.1716115627153007,0.3583225371282902,0.3583225371282902,0.1953468059537911
P̄1d2d2P2,delaunay,66,1572,0.090996131697337,18864,91170,82422,2854,195310,0.5,0.1242537950417378,0.391708419744463,0.7154634822493995,0.7154634822493995,0.1259603679701882
P̄1d2d2P2,delaunay,80,1153,0.1185396435318069,13836,67266,60336,2150,143588,0.2,0.0512869104153671,0.1717812114199861,0.3585924305498583,0.3585924305498583,0.1955176007001567
P̄1d2d2P2,delaunay,80,1153,0.1185396435318069,13836,67266,60336,2150,143588,0.5,0.1243716520403416,0.3920955892818354,0.7163009908232374,0.7163009908232374,0.1262514190123746
P̄1d2d2P2,delaunay,83,869,0.1134570656412134,10428,50688,45414,1621,108151,0.2,0.0512859692790162,0.1717978395855021,0.3585539800288116,0.3585539800288116,0.1955284200921801
P̄1d2d2P2,delaunay,83,869,0.1134570656412134,10428,50688,45414,1621,108151,0.5,0.1243710660387162,0.3921058106376251,0.7162628755486448,0.7162628755486448,0.1262242024471219
P̄0d1d1P1(corr),delaunay,42,4131,0.06130024978492036,18301,80865,71784,1093,172043,0.2,0.05122320946006187,0.1714225981549442,0.35738940446621525,0.35738940446621525,0.19547785772555235
P̄0d1d1P1(corr),delaunay,42,4131,0.06130024978492036,18301,80865,71784,1093,172043,0.5,0.12422387956724842,0.39116735336565284,0.7136015899237885,0.7136015899237885,0.12540778517016896
P̄0d1d1P1(corr),delaunay,48,3167,0.06820770289950522,14262,62739,54765,893,132659,0.2,0.051226084262728115,0.17148306529229873,0.35752020828370973,0.35752020828370973,0.19546006913505906
P̄0d1d1P1(corr),delaunay,48,3167,0.06820770289950522,14262,62739,54765,893,132659,0.5,0.12422289183989522,0.3912968461498199,0.7139133394002836,0.7139133394002836,0.12541001483681863
P̄0d1d1P1(corr),delaunay,56,2338,0.07518843548277175,10568,46521,40356,673,98118,0.2,0.05123547608672725,0.17156614165817338,0.3576076823093858,0.3576076823093858,0.19549638244080358
P̄0d1d1P1(corr),delaunay,56,2338,0.07518843548277175,10568,46521,40356,673,98118,0.5,0.12424948078775788,0.3914722732910931,0.7143209881696295,0.7143209881696295,0.12549627697648874
P̄0d1d1P1(corr),delaunay,62,1768,0.08340689847762796,8044,35199,30438,514,74195,0.2,0.051233558456367415,0.17157713246014372,0.35753061428142663,0.35753061428142663,0.19551004987534074
P̄0d1d1P1(corr),delaunay,62,1768,0.08340689847762796,8044,35199,30438,514,74195,0.5,0.1242428618021905,0.39146149237858346,0.7140104543947318,0.7140104543947318,0.1253042077290987
P̄0d1d1P1(corr),delaunay,70,1357,0.0896016484146825,6195,27108,23346,404,57053,0.2,0.05122366095649003,0.17171388964999074,0.35779119216267424,0.35779119216267424,0.19544235940329294
P̄0d1d1P1(corr),delaunay,70,1357,0.0896016484146825,6195,27108,23346,404,57053,0.5,0.12420842921043798,0.39177163472172805,0.7147973986447959,0.7147973986447959,0.1253708302498904
P̄0d1d1P1(corr),delaunay,81,943,0.10927877292797109,4304,18882,16209,284,39679,0.2,0.05125599696842144,0.17192008898367786,0.3577041091364419,0.3577041091364419,0.1956635274851254
P̄0d1d1P1(corr),delaunay,81,943,0.10927877292797109,4304,18882,16209,284,39679,0.5,0.12429460421754558,0.3921758942427206,0.7152787810379659,0.7152787810379659,0.12534589177324754
P̄0d1d1P1(corr),delaunay,99,742,0.13014748082394267,3416,14994,12726,236,31372,0.2,0.05121846299389976,0.17235864206085474,0.35940148778726083,0.35940148778726083,0.19509840057829256
P̄0d1d1P1(corr),delaunay,99,742,0.13014748082394267,3416,14994,12726,236,31372,0.5,0.12414727911369186,0.393196794261174,0.7186430551680147,0.7186430551680147,0.1260280966780671
P̄1d2d2P2(corr),delaunay,45,3535,0.06421650565673306,51456,202842,186084,6130,446512,0.2,0.05122842471724442,0.1713688526402121,0.35757706881862455,0.35757706881862455,0.19543960918608194
P̄1d2d2P2(corr),delaunay,45,3535,0.06421650565673306,51456,202842,186084,6130,446512,0.5,0.12423525583171478,0.39113629269278394,0.713804918268977,0.713804918268977,0.1256214540654974
P̄1d2d2P2(corr),delaunay,51,2726,0.06962044987247988,39753,156672,143388,4761,344574,0.2,0.05123290602044564,0.17142670480329497,0.3577482703563654,0.3577482703563654,0.1954142903113914
P̄1d2d2P2(corr),delaunay,51,2726,0.06962044987247988,39753,156672,143388,4761,344574,0.5,0.12423989715496583,0.3912632819124784,0.7141834967895757,0.7141834967895757,0.12570031017770572
P̄1d2d2P2(corr),delaunay,57,1950,0.07820819028130718,28437,112014,102564,3406,246421,0.2,0.05124508910340234,0.17149609456416012,0.35791722612690946,0.35791722612690946,0.1954428711206066
P̄1d2d2P2(corr),delaunay,57,1950,0.07820819028130718,28437,112014,102564,3406,246421,0.5,0.12426885568261903,0.39142229714849186,0.7145921058554956,0.7145921058554956,0.1258235209682854
P̄1d2d2P2(corr),delaunay,66,1572,0.09099613169733703,23136,91170,82422,2854,199582,0.2,0.05124086155517349,0.17161156270980552,0.358322537155221,0.358322537155221,0.19534680595230403
P̄1d2d2P2(corr),delaunay,66,1572,0.09099613169733703,23136,91170,82422,2854,199582,0.5,0.12425247369093967,0.39170841952903923,0.7154634806174622,0.7154634806174622,0.12596036661269513
P̄1d2d2P2(corr),delaunay,80,1153,0.11853964353180699,17094,67266,60336,2150,146846,0.2,0.0512861336370826,0.17178121142845046,0.35859243053230905,0.35859243053230905,0.19551760070389795
P̄1d2d2P2(corr),delaunay,80,1153,0.11853964353180699,17094,67266,60336,2150,146846,0.5,0.12436994722198974,0.39209558955875756,0.7163009926278383,0.7163009926278383,0.12625142032958436
P̄1d2d2P2(corr),delaunay,83,869,0.11345706564121347,12915,50688,45414,1621,110638,0.2,0.05128518248613682,0.17179783959382167,0.35855398001919,0.35855398001919,0.19552842009565927
P̄1d2d2P2(corr),delaunay,83,869,0.11345706564121347,12915,50688,45414,1621,110638,0.5,0.12436937467120877,0.3921058096011818,0.7162628664268383,0.7162628664268383,0.12622419511213567
